Date,median of the 100 ensemble member time series,,,
1850/01,-0.7,,,time series are presented as temperature anomalies (deg C) relative to 1961-1990.
1850/02,-0.286,,,
1850/03,-0.732,,,
1850/04,-0.563,,,
1850/05,-0.327,,,
1850/06,-0.213,,,
1850/07,-0.125,,,
1850/08,-0.237,,,
1850/09,-0.439,,,
1850/10,-0.451,,,
1850/11,-0.187,,,
1850/12,-0.257,,,
1851/01,-0.296,,,
1851/02,-0.356,,,
1851/03,-0.479,,,
1851/04,-0.441,,,
1851/05,-0.295,,,
1851/06,-0.197,,,
1851/07,-0.212,,,
1851/08,-0.157,,,
1851/09,-0.101,,,
1851/10,-0.057,,,
1851/11,-0.02,,,
1851/12,-0.051,,,
1852/01,-0.315,,,
1852/02,-0.477,,,
1852/03,-0.502,,,
1852/04,-0.557,,,
1852/05,-0.211,,,
1852/06,-0.04,,,
1852/07,-0.018,,,
1852/08,-0.202,,,
1852/09,-0.125,,,
1852/10,-0.216,,,
1852/11,-0.193,,,
1852/12,0.073,,,
1853/01,-0.182,,,
1853/02,-0.327,,,
1853/03,-0.309,,,
1853/04,-0.355,,,
1853/05,-0.268,,,
1853/06,-0.175,,,
1853/07,-0.059,,,
1853/08,-0.148,,,
1853/09,-0.404,,,
1853/10,-0.362,,,
1853/11,-0.255,,,
1853/12,-0.437,,,
1854/01,-0.365,,,
1854/02,-0.282,,,
1854/03,-0.286,,,
1854/04,-0.353,,,
1854/05,-0.233,,,
1854/06,-0.219,,,
1854/07,-0.227,,,
1854/08,-0.167,,,
1854/09,-0.119,,,
1854/10,-0.192,,,
1854/11,-0.367,,,
1854/12,-0.233,,,
1855/01,-0.169,,,
1855/02,-0.401,,,
1855/03,-0.306,,,
1855/04,-0.223,,,
1855/05,-0.338,,,
1855/06,-0.167,,,
1855/07,-0.271,,,
1855/08,-0.163,,,
1855/09,-0.336,,,
1855/10,-0.217,,,
1855/11,-0.214,,,
1855/12,-0.518,,,
1856/01,-0.122,,,
1856/02,-0.376,,,
1856/03,-0.528,,,
1856/04,-0.38,,,
1856/05,-0.129,,,
1856/06,-0.291,,,
1856/07,-0.304,,,
1856/08,-0.309,,,
1856/09,-0.461,,,
1856/10,-0.391,,,
1856/11,-0.608,,,
1856/12,-0.449,,,
1857/01,-0.513,,,
1857/02,-0.345,,,
1857/03,-0.434,,,
1857/04,-0.649,,,
1857/05,-0.57,,,
1857/06,-0.31,,,
1857/07,-0.541,,,
1857/08,-0.329,,,
1857/09,-0.393,,,
1857/10,-0.474,,,
1857/11,-0.668,,,
1857/12,-0.358,,,
1858/01,-0.528,,,
1858/02,-0.708,,,
1858/03,-0.548,,,
1858/04,-0.512,,,
1858/05,-0.653,,,
1858/06,-0.582,,,
1858/07,-0.329,,,
1858/08,-0.278,,,
1858/09,-0.332,,,
1858/10,-0.211,,,
1858/11,-0.643,,,
1858/12,-0.304,,,
1859/01,-0.308,,,
1859/02,-0.189,,,
1859/03,-0.327,,,
1859/04,-0.195,,,
1859/05,-0.307,,,
1859/06,-0.248,,,
1859/07,-0.274,,,
1859/08,-0.1,,,
1859/09,-0.565,,,
1859/10,-0.249,,,
1859/11,-0.315,,,
1859/12,-0.363,,,
1860/01,-0.181,,,
1860/02,-0.426,,,
1860/03,-0.642,,,
1860/04,-0.332,,,
1860/05,-0.293,,,
1860/06,-0.309,,,
1860/07,-0.109,,,
1860/08,-0.182,,,
1860/09,-0.217,,,
1860/10,-0.195,,,
1860/11,-0.515,,,
1860/12,-0.762,,,
1861/01,-0.893,,,
1861/02,-0.508,,,
1861/03,-0.464,,,
1861/04,-0.386,,,
1861/05,-0.768,,,
1861/06,-0.189,,,
1861/07,-0.221,,,
1861/08,-0.094,,,
1861/09,-0.33,,,
1861/10,-0.362,,,
1861/11,-0.417,,,
1861/12,-0.247,,,
1862/01,-0.742,,,
1862/02,-0.78,,,
1862/03,-0.403,,,
1862/04,-0.24,,,
1862/05,-0.225,,,
1862/06,-0.336,,,
